Gênero/Especie,Nome_popular,Família_Botânica,Tipo,Hábitat,Região
"Manihot salicifolia","","Euphorbiaceae","Subarbusto","Cerrado (stricto sensu), campo rupestre (lato sensu)","MT, GO, MS"
"Manihot violacea","","Euphorbiaceae","Subarbusto","Cerrado (stricto sensu), campo sujo, campo úmido","MT, GO, MG"
"Leptolobium dasycarpum","Cascudinho, unha-d’anta","Fabaceae","Árvore , arvoreta","Borda de mata de galeria, cerradão, cerrado (stricto sensu), campo sujo","TO, RO, MA, PI, CE, BA, MT, GO, DF, MS, MG, SP"
"Anadenanthera colubrina","Angico","Fabaceae","Árvore","Mata de galeria. Mata seca, cerradão","PI, CE, PB, PE, BA, MT, GO, DF, MS, MG, SP, RJ, PR, SC"
"Andira anthelmia","Angelim","Fabaceae","Árvore , arbusto","Mata de galeria, mata ciliar, cerrado (lato sensu)","BA, AL, MG, ES, SP, RJ"
"Andira fraxinifolia","Amargosa, Amargo, Pau-roxo","Fabaceae","Árvore","Mata ciliar, borda de mata de galeria, cerradão, cerrado (denso, típico), savanas amazônicas","PA, AM, TO, RO, MA, PI, CE, PB, PE, BA, MT, GO, DF, MS, MG, SP"
"Andira vermifuga","Angelim, mata-barata","Fabaceae","Árvore, arvoreta","Cerrado (stricto sensu), campo sujo, campo limpo, carrasco","AM, AC, MA, PI, CE, BA, MT, DF, GO, MS, MG, SP"
"Bauhinia curvula","Pata-de-vaca, mororó","Fabaceae","Arbusto , Subarbusto","Borda de Mata de Galeria, Cerradão, Cerrado (stricto sensu)","PA, MT, GO, MS, DF, MG"
"Bauhinia rufa","Pata-de-vaca, mororó","Fabaceae","Subarbusto","Mata ciliar, mata de galeria, cerradão, Cerrado (stricto sensu), campo sujo, Campo rupestre (lato sensu)","GO, DF, MG"
"Bauhinia ungulata","Mororó vermelho","Fabaceae","Arbusto","Mata de galeria, cerrado (lato sensu), transição com Amazônia","RR, AM, PA, AM, TO, AC, RO, MA, PI, CE, MT, GO, DF, MS, MG, SP, RJ"
